Timestamp,UG/PG,Year,attendance,sleepSchedule,nightOwl,branchDifficulty,CGPA,clubsNo,clubEvents,physicalSports,meditation,musicReg,musicHappy,newsPolitics,religion,supportFamily,posToNeg,lifeSatisfaction,happinessGeneral
3/7/2025 15:58:06,Under-grad,2,9,8,4,8,8.3,2,3,7,1,9,2-Melancholic & Emotional,9,2,9,8,8,7
3/7/2025 15:58:47,Under-grad,2,8,7,8,8,8.4,3,1,1,5,8,3-Neutral & Balanced,7,8,8,7,7,7
3/7/2025 16:00:54,Under-grad,1,6,6,6,10,8,0,10,10,1,10,5-Extremely Happy & Euphoric,10,1,10,10,10,10
3/7/2025 16:02:35,Under-grad,2,7,7,5,6,8.8,3,8,5,1,10,4-Upbeat & Cheerful,5,1,7,9,3,5
3/7/2025 16:16:13,Under-grad,2,1,2,9,8,8.5,3,7,1,1,8,2-Melancholic & Emotional,3,7,8,8,4,7
3/7/2025 16:16:18,Under-grad,1,10,8,1,1,8.75,3,10,10,5,5,1-Very Sad & Dark,10,3,4,8,9,10
3/7/2025 16:21:52,Under-grad,2,7,7,5,5,8.42,1,6,5,3,8,3-Neutral & Balanced,3,7,9,8,10,8
3/7/2025 16:23:35,Under-grad,1,4,1,7,6,8.5,2,5,5,1,8,3-Neutral & Balanced,3,10,10,8,8,6
3/7/2025 16:27:16,Under-grad,1,8,7,4,8,8.56,1,4,2,1,10,4-Upbeat & Cheerful,5,6,8,6,6,7
3/7/2025 16:46:32,Under-grad,1,4,5,6,7,8.06,3,4,7,3,8,4-Upbeat & Cheerful,4,5,7,8,6,6
3/7/2025 16:51:08,Under-grad,2,3,2,10,9,7.62,0,2,4,1,9,3-Neutral & Balanced,3,2,7,5,2,4
3/7/2025 17:01:30,Under-grad,1,3,2,8,4,8.53,0,1,5,1,9,4-Upbeat & Cheerful,6,9,4,3,3,3
3/7/2025 17:28:31,Under-grad,1,6,7,5,6,7.5,3,8,9,2,10,4-Upbeat & Cheerful,3,3,7,8,9,9
3/7/2025 17:38:58,Under-grad,2,7,7,3,9,7,0,1,9,1,4,1-Very Sad & Dark,2,2,9,10,8,9
3/7/2025 18:02:16,Under-grad,1,6,6,8,3,9.29,1,3,5,1,9,4-Upbeat & Cheerful,1,1,7,9,9,8
